Student name,Status,Reading,Writting,Grammar,Spelling,Math,Science,Social Sciences,Technology,Chemistry,Arts
Carolina Dubois,Local,50,60,60,70,70,80,90,80,100,100
Susana Yakamoto,International,100,80,100,100,90,90,90,90,90,90
Acosta Andrade Angélica,International,90,90,60,60,70,70,80,90,80,90
Altamirano García Elba,International,50,60,60,70,70,90,90,90,90,90
Becerril Sánchez Andrés,Local,90,80,70,50,60,60,70,50,60,60
Brito Gómez Sofía,Local,70,80,70,80,70,50,60,60,70,70
Buendia Alarcón Juan José,Local,90,90,90,90,90,100,80,100,100,90
Castro Buenrostro Norma,Local,70,70,70,70,70,90,90,60,60,70
Cuervo Nolasco Edith,International,70,90,70,90,70,50,60,60,70,70
Duran Almazán Sandra,Local,60,60,60,60,60,,,,,
Duro Cordero Joaquín,Local,50,100,90,50,90,90,80,70,50,60
Eraz Salgado Martín,Local,70,100,100,100,70,70,90,70,70,60
Fernández Gutiérrez Mónica,Local,50,100,90,50,90,80,90,70,90,60
Farías Torres Rafael,International,60,80,90,60,80,70,90,70,70,60
García Contraras Ruben,International,60,100,60,60,70,80,90,70,90,60
Hernández Torres Alma,International,70,100,60,70,50,70,90,70,70,60
Juárez Montero César,Local,70,90,70,70,60,80,90,70,90,60
Linares Montes Ramón,International,80,90,70,90,60,70,90,70,70,60
Razo Limón Alfredo,International,90,90,80,90,70,50,100,90,50,90
Martínez Sotelo Susana,International,80,90,90,90,50,60,80,90,60,80
Martínez Hurtado Angel,International,100,90,80,90,60,60,100,60,60,70
Mendoza Conde Sebastian,Local,100,90,90,90,60,70,100,60,70,50
Morales Serrano Pablo,Local,70,100,100,100,70,70,90,70,70,60
Ocampo Murrieta Verónica,International,80,70,80,70,80,80,90,70,90,60
Ocampo Reza Fernando,International,90,90,90,90,90,70,50,60,60,70
Ordoñez Serrano Pedro,International,70,70,70,70,70,90,100,80,100,100
Palacios Duarte José Luis,Local,60,100,60,60,70,70,90,90,60,60
Perdomo Casado Jazmín,Local,70,100,60,70,50,50,60,100,60,60
Pintado Duarte Carlos,International,70,90,70,70,60,60,70,100,60,70
Puebla Castro Alejandro,International,80,90,70,90,60,60,70,90,70,70
,,,,,,,70,80,90,70,90
