Student Name,Status,1st year,2nd year,3er year
Carolina Dubois,Local,80,70,90
Susana Yakamoto,Foráneo,100,90,100
Acosta Andrade Angélica,Foráneo,80,70,90
Altamirano García Elba,Foráneo,80,70,90
Becerril Sánchez Andrés,Local,70,60,80
Brito Gómez Sofía,Local,70,60,80
Buendia Alarcón Juan José,Local,100,90,100
Castro Buenrostro Norma,Local,70,60,80
Cuervo Nolasco Edith,Foráneo,70,60,80
Duran Almazán Sandra,Local,60,50,70
Duro Cordero Joaquín,Local,80,70,90
Eraz Salgado Martín,Local,80,70,90
Fernández Gutiérrez Mónica,Local,80,70,90
Farías Torres Rafael,Foráneo,80,70,90
García Contraras Ruben,Foráneo,80,70,90
Hernández Torres Alma,Foráneo,70,60,80
Juárez Montero César,Local,80,70,90
Linares Montes Ramón,Foráneo,80,70,90
Razo Limón Alfredo,Foráneo,80,70,90
Martínez Sotelo Susana,Foráneo,80,70,90
Martínez Hurtado Angel,Foráneo,80,70,90
Mendoza Conde Sebastian,Local,80,70,90
Morales Serrano Pablo,Local,80,70,90
Ocampo Murrieta Verónica,Foráneo,80,70,90
Ocampo Reza Fernando,Foráneo,80,70,90
Ordoñez Serrano Pedro,Foráneo,90,80,100
Palacios Duarte José Luis,Local,70,60,80
Perdomo Casado Jazmín,Local,70,60,80
Pintado Duarte Carlos,Foráneo,70,60,80
Puebla Castro Alejandro,Foráneo,80,70,90
