Order ID,Client Name,Vendor,Shipment date,Price,Quantity,Full price,Shipment costs,Product name
30,Compañía AA,Francisco Chaves,2006-01-22,14,100,1400,200,Bebida Northwind Traders
30,Compañía AA,Francisco Chaves,2006-01-22,3.5,30,105,200,Ciruelas pasas Northwind Traders
31,Compañía D,Pilar Pinilla Gallego,2006-01-22,30,10,300,5,Peras secas Northwind Traders
31,Compañía D,Pilar Pinilla Gallego,2006-01-22,53,10,530,5,Manzanas secas Northwind Traders
31,Compañía D,Pilar Pinilla Gallego,2006-01-22,3.5,10,35,5,Ciruelas pasas Northwind Traders
32,Compañía L,María Jesús Cuesta,2006-01-22,18,15,270,5,Té Chai Northwind Traders
32,Compañía L,María Jesús Cuesta,2006-01-22,46,20,920,5,Café Northwind Traders
33,Compañía H,Juan Carlos Rivas,2006-01-31,9.2,30,276,50,Galletas de chocolate surtidas 
34,Compañía D,Francisco Chaves,2006-02-07,9.2,20,184,4,Galletas de chocolate surtidas 
35,Compañía CC,Pilar Pinilla Gallego,2006-02-12,12.75,10,127.5,7,Chocolate Northwind Traders
36,Compañía C,María Jesús Cuesta,2006-02-25,9.65,200,1930,7,Sopa de almejas Northwind Traders
37,Compañía F,Luis Bonifaz,2006-03-09,40,17,680,12,Salsa curry Northwind Traders
38,Compañía BB,Francisco Chaves,2006-03-11,46,300,13800,10,Café Northwind Traders
39,Compañía H,Pilar Pinilla Gallego,2006-03-24,12.75,100,1275,5,Chocolate Northwind Traders
40,Compañía J,María Jesús Cuesta,2006-03-24,2.99,200,598,9,Té verde Northwind Traders
41,Compañía G,María González,,46,300,13800,0,Café Northwind Traders
42,Compañía J,María González,2006-04-07,25,10,250,0,Mermelada de moras y frambuesas 
42,Compañía J,María González,2006-04-07,22,10,220,0,Condimentos de Louisiana Northwind 
42,Compañía J,María González,2006-04-07,9.2,10,92,0,Galletas de chocolate surtidas 
43,Compañía K,María González,,3.5,20,70,0,Ciruelas pasas Northwind Traders
43,Compañía K,María González,,2.99,50,149.5,0,Té verde Northwind Traders
44,Compañía A,María González,,18,25,450,0,Té Chai Northwind Traders
44,Compañía A,María González,,46,25,1150,0,Café Northwind Traders
44,Compañía A,María González,,2.99,25,74.75,0,Té verde Northwind Traders
45,Compañía BB,María González,2006-04-07,9.65,50,482.5,40,Sopa de almejas Northwind Traders
45,Compañía BB,María González,2006-04-07,18.4,50,920,40,Carne de cangrejo Northwind Traders
46,Compañía I,Humberto Acevedo,2006-04-05,19.5,100,1950,100,Ravioli Northwind Traders
46,Compañía I,Humberto Acevedo,2006-04-05,34.8,50,1740,100,Mozzarella Northwind Traders
47,Compañía F,Juan Carlos Rivas,2006-04-08,14,300,4200,300,Bebida Northwind Traders
48,Compañía H,María Jesús Cuesta,2006-04-05,40,25,1000,50,Salsa curry Northwind Traders
48,Compañía H,María Jesús Cuesta,2006-04-05,9.2,25,230,50,Galletas de chocolate surtidas 
50,Compañía Y,Francisco Chaves,2006-04-05,10,20,200,5,Bollos de pan Northwind Traders
51,Compañía Z,Francisco Chaves,2006-04-05,21.35,25,533.75,60,Aceite de oliva Northwind Traders
51,Compañía Z,Francisco Chaves,2006-04-05,9.65,30,289.5,60,Sopa de almejas Northwind Traders
51,Compañía Z,Francisco Chaves,2006-04-05,18.4,30,552,60,Carne de cangrejo Northwind Traders
55,Compañía CC,María González,2006-04-05,14,87,1218,200,Bebida Northwind Traders
56,Compañía F,Jesús Escolar,2006-04-03,12.75,10,127.5,0,Chocolate Northwind Traders
58,Compañía D,Pilar Pinilla Gallego,2006-04-22,81,40,3240,5,Mermelada Northwind Traders
