#,Date,Vendor,Client,Brand,Cost,Selling price,% Profit
S-01,2022-07-01,Ben,Noland Jacklin,Sony,1112.94,1288,0.1572950923
S-02,2022-07-01,Jacob,Emmerich Housecraft,Acer,1095.5,1250.75,0.1417161114
S-03,2022-07-04,Ben,Helyn Bourthoumieux,Acer,1120.94,1295,0.1552803897
S-04,2022-07-04,Jacob,Denni Meekins,Dell,1509.73,1687.75,0.1179151239
S-05,2022-07-05,Ben,Patrizio Bettinson,MSI,1235.33,1412.25,0.1432167923
S-06,2022-07-05,Jacob,Dorry Eddy,Microsoft,881.93,962,0.0907895184
S-07,2022-07-06,Ben,Erik Justice,MSI,1075.7,1142.75,0.0623315051
S-08,2022-07-06,Jacob,Editha Cragell,MSI,714.58,800.5,0.1202384618
S-09,2022-07-07,Ben,Katti Bucknill,Asus,1299.11,1360,0.0468705498
S-10,2022-07-07,Jacob,Corinna Machan,HP,1087.48,1268.5,0.1664582337
S-11,2022-07-08,Ben,Taber Bettanay,Asus,803.79,907.75,0.1293372647
S-12,2022-07-08,Jacob,Collin Bauman,HP,1113.73,1278.75,0.1481687662
S-13,2022-07-11,Ben,Conant Raiston,Acer,843.16,965.25,0.1448005124
S-14,2022-07-11,Jacob,Daryl Lambal,Lenovo,1552.52,1717.5,0.1062659418
S-15,2022-07-12,Ben,Juli M'Chirrie,LG,1382.27,1550.25,0.1215247383
S-16,2022-07-12,Jacob,Judon Suddock,Dell,1515.76,1622.75,0.070585053
S-17,2022-07-13,Ben,Burt Durgan,Dell,1264.56,1328.5,0.0505630417
S-18,2022-07-13,Jacob,Sheffie Camell,Lenovo,1251.98,1402,0.1198261953
S-19,2022-07-14,Ben,Rhodie Fache,Acer,986.11,1054,0.0688462748
S-20,2022-07-14,Jacob,Garv Dyne,Dell,1514.2,1571.25,0.0376766609
S-21,2022-07-15,Ben,Gradeigh Killingbeck,Dell,1318.85,1454.75,0.1030443189
S-22,2022-07-15,Jacob,Hershel Henkens,Lenovo,1495.11,1655,0.1069419641
S-23,2022-07-18,Ben,Cori Tinkler,HP,1187.7,1297.75,0.0926580786
S-24,2022-07-18,Jacob,Jessika Rugge,LG,1150.74,1225.75,0.0651841424
S-25,2022-07-19,Ben,Alfonse Cantera,LG,1562.68,1736.75,0.1113919676
S-26,2022-07-19,Jacob,Cornie Garrat,Sony,1514.13,1620.25,0.0700864523
S-27,2022-07-20,Ben,Lynn Haton,Dell,778.27,930.25,0.1952792733
S-28,2022-07-20,Jacob,Etan Vasechkin,MSI,1270.66,1334.75,0.0504383549
S-29,2022-07-21,Ben,Bianca Cartman,Acer,766.72,841.75,0.0978584098
S-30,2022-07-21,Jacob,Madonna Bumpas,MSI,1041.13,1157.25,0.1115326616
S-31,2022-07-22,Ben,Duncan Reffe,Lenovo,1218.08,1344,0.1033758045
S-32,2022-07-22,Jacob,Kitti Hartless,LG,1016.36,1108.25,0.090410878
S-33,2022-07-25,Ben,Maison Eim,Acer,1576.91,1683,0.0672771433
S-34,2022-07-25,Jacob,Gabie O'Towey,Lenovo,870.02,997,0.1459506678
S-35,2022-07-26,Ben,Monique Nuemann,Acer,1145.26,1344.25,0.1737509387
S-36,2022-07-26,Jacob,Martha Pieroni,Sony,1313.05,1504,0.1454247744
S-37,2022-07-27,Ben,Wally Coal,Dell,833.49,906.5,0.087595532
S-38,2022-07-27,Jacob,Clotilda Reaman,MSI,1578.85,1711.75,0.0841751908
S-39,2022-07-28,Ben,Theodoric Birden,Microsoft,1314.78,1371.75,0.0433304431
S-40,2022-07-28,Jacob,Sarge Baggett,LG,972.81,1139.75,0.1716059662
S-41,2022-07-29,Ben,Malia Tylor,MSI,1551.16,1721.25,0.1096534207
S-42,2022-07-29,Jacob,Aeriel Regenhardt,Sony,1366.59,1418.5,0.0379850577
S-43,2022-08-01,Ben,Sheffie Macilhench,Asus,1466.66,1624.75,0.1077891263
S-44,2022-08-01,Jacob,Elianora Gorringe,Dell,1594.15,1682.25,0.0552645611
S-45,2022-08-02,Ben,Skye Dincey,Lenovo,1580.98,1679,0.0619995193
S-46,2022-08-02,Jacob,Nara Devenny,Microsoft,916.97,1025,0.1178119241
S-47,2022-08-03,Ben,Roy Bilverstone,Sony,726.12,838,0.1540792156
S-48,2022-08-03,Jacob,Blanche Greveson,LG,1461.44,1599.5,0.0944684695
S-49,2022-08-04,Ben,Davita Garth,Lenovo,1176.26,1263.25,0.0739547379
S-50,2022-08-04,Jacob,Brett Kinnerk,Apple,825.12,1004,0.2167927089
S-51,2022-08-05,Ben,Latashia Hendrick,Asus,1034.97,1091,0.0541368349
S-52,2022-08-05,Jacob,Trisha Hasley,Lenovo,939.94,1045,0.1117730919
S-53,2022-08-08,Ben,Vittorio Obey,Lenovo,1429.63,1570.75,0.0987108553
S-54,2022-08-08,Jacob,Sydelle Purselowe,Sony,1009.06,1189,0.1783243811
S-55,2022-08-09,Ben,Angie MacHoste,Apple,974.45,1152.5,0.1827184566
S-56,2022-08-09,Jacob,Michel Dagon,Sony,1511.87,1688.75,0.116994186
S-57,2022-08-10,Ben,Astrid Kilborn,Sony,1103.76,1256.75,0.1386080307
S-58,2022-08-10,Jacob,Austin Wellings,Microsoft,809.07,930,0.1494679076
S-59,2022-08-11,Ben,Patty Simoneau,LG,1438.4,1560.5,0.0848859844
S-60,2022-08-11,Jacob,Alvira Delacroux,Acer,1472.96,1637,0.1113675864
S-61,2022-08-12,Ben,Bent Delhay,Asus,1556.29,1742.25,0.1194892983
S-62,2022-08-12,Jacob,Lindi Brydon,HP,960.13,1088.25,0.1334402633
S-63,2022-08-15,Ben,Sue Scuse,Dell,1520.43,1594.5,0.0487164815
S-64,2022-08-15,Jacob,Tally Causley,Acer,1195.05,1263,0.0568595456
S-65,2022-08-16,Ben,Lucilia Dohrmann,Lenovo,1357.83,1518.75,0.1185126268
S-66,2022-08-16,Jacob,Virgil Alans,LG,1440.38,1498.5,0.0403504631
S-67,2022-08-17,Ben,Mel Capaldi,Sony,801.34,913.25,0.1396535803
