Order no.,Date,Driver's name,Item,Number of items,Transport,Destination
100001,2023-02-01,John May,TV,25,truck 4,Boston
100002,2023-02-01,Peter White,washing machine,30,truck 3,NY
100003,2023-02-02,Carl Nowak,washing machine,15,truck 3,Philadelphia
100004,2023-02-03,Peter White,TV,32,truck 4,NY
100005,2023-02-03,George Ramsay,refrigerator,25,truck 3,Boston
100006,2023-02-03,Carl Nowak,washing machine,18,truck 1,Baltimore
100007,2023-02-03,John May,refrigerator,15,truck 2,Philadelphia
100008,2023-02-04,Carl Nowak,refrigerator,25,truck 3,Baltimore
100009,2023-02-04,Peter White,TV,30,truck 1,Pittsburgh
100010,2023-02-04,George Ramsay,refrigerator,15,truck 2,NY
100011,2023-02-04,Mertl Pavel,microwave,25,truck 3,Philadelphia
100012,2023-02-04,John May,washing machine,14,truck 4,NY
100013,2023-02-05,John May,washing machine,25,airplane,Baltimore
100014,2023-02-05,Carl Nowak,TV,30,truck 4,Philadelphia
100015,2023-02-05,George Ramsay,microwave,15,truck 3,Boston
100016,2023-02-05,Peter White,TV,15,truck 1,Pittsburgh
100017,2023-02-06,John May,microwave,25,truck 1,NY
100018,2023-02-07,John May,TV,30,truck 4,Philadelphia
100019,2023-02-08,George Ramsay,washing machine,13,truck 3,Baltimore
100020,2023-02-08,Peter White,refrigerator,25,truck 2,Philadelphia
100021,2023-02-08,Carl Nowak,microwave,30,truck 1,Pittsburgh
100022,2023-02-08,Peter White,washing machine,15,airplane,NY
100023,2023-02-08,John May,microwave,25,truck 4,Boston
100024,2023-02-09,George Ramsay,washing machine,34,truck 3,Baltimore
