ID,NAME,FATHER'S LAST NAME,MOTHER'S LAST NAME,DATE OF BIRTH
024300,Jennifer,López,Pérez,2001-07-06
024301,Justino,Castor,Mercado,2001-09-16
024302,Enrique,Iglesias,Grajeda,2000-10-15
024303,Paulina,Rubio,Esquivel,2000-06-05
024304,Juan,Escutia,Suárez,2001-11-03
024305,Carmen,García,López,2001-01-31
024306,Benito,Juárez,Domínguez,2000-05-12
024307,Roberto,Gómez,Bolaños,2000-02-06
024308,Cirilo,Godinez,Gutierritos,2000-11-08
024309,Herculano,Cedillo,Chico,2000-07-11
024310,Antonio,López,De Santa Ana,2000-04-18
024311,Leopoldo,García,López,2001-02-12
024312,Margarita,Flores,Rosas,2001-08-11
024313,Agustín,Melgar,Jiménez,2000-12-14
024314,Julieta,Capuleto,Padilla,2001-05-19
024315,Romeo,Montesco,Nannini,2001-04-13
024316,Cristina,Aguilera,Torres,2001-11-15
024317,Juana,De Asbaje,Álvarez,2000-01-01
024318,Carlos,Martell,Franco,2000-08-04
024319,Angélica ,Rivera,Hurtado,2000-12-02
024320,Susanito,Peñafiel,Pardavé,2001-06-24
024321,Isabel,Castilla,Sicilia,2001-10-10
024322,Fernando,Aragón,Navarro,2001-04-25
024323,Lucía ,Méndez,Adame,2001-07-18
024324,Daniela,Romo,Saavedra,2001-09-04
024325,Javier,Solís,Estevez,2000-06-17
024326,Rosa,Espinosa,Del Campo,2000-04-30
024327,Agustín,Lara,Madrid,2001-02-24
024328,Xóchitl,Pérez,Esmit,2001-10-22
024329,Rubi,Ibarra,García,2000-09-09
024330,Diego,Luna,Gutiérrez,2000-09-21
024331,Jorge,Negrete,Vega,2001-12-09
024332,Carolina,Herrera,Hernández,2000-11-20
024333,Tamara,Villa,Juárez,2000-12-26
024334,Ricardo,Tapia,Enriquez,2000-05-24
024335,Bruno,Diaz,Ricardez,2001-07-30
024336,Adolfo,Ruiz,Cortina,2000-04-06
024337,Flor,De La Fuente,Arenas,2000-07-23
024338,Euduviges,Volker,Fuchs,2000-08-16
024339,Ludmila,Carrasco,Morales,2001-04-01
024340,Gokú Fernando,Martínez,González,2000-10-03
024341,Pedro,Bello,Buenrostro,2000-03-01
024342,Pedro,Cárdenas,Rosas,2001-08-23
024343,Estefanía,Grimaldi,Palacios,2001-05-31
024344,Joaquín,Guzmán,Loaeza,2001-01-19
024345,Vicente,Fernández,Nuñez,2001-05-07
024346,Juvenal,Bovino,Becerra,2000-01-13
024347,Mauricio,Garcés,Galán,2000-08-28
024348,Macarena,Alegre,Valls,2001-11-27
024349,Toribio,Cabeza De Vaca,Farías,2000-06-29
024350,Alejandra,Guzmán,Paniagua,2001-06-12
024351,Tiburcio,Del Río,Laguna,2001-01-07
024352,Eustorgio,Guerrero,Blanco,2000-01-25
024353,Axayácatl,Zenhuantzin,Moctezuma,2001-03-20
024354,Usnabi,Cruz,Chairez,2000-03-25
024355,Martín,Martín Del Campo,Martínez,2001-03-08
024356,Sancho,Sánchez,Sánchez,2001-09-28
024357,Leonardo,León,Bravo,2000-02-18
024358,Dolores,De La Muela,Grande,2000-10-27
024359,Casimiro,Sordo,Barroso,2000-03-13
