ID,NAME,FATHER'S LAST NAME,MOTHER'S LAST NAME,DATE OF BIRTH
024300,jennifer,lópez,pérez,2001-07-06
024301,justino,castor,mercado,2001-09-16
024302,enrique,iglesias,grajeda,2000-10-15
024303,paulina,rubio,esquivel,2000-06-05
024304,juan,escutia,suárez,2001-11-03
024305,carmen,garcía,lópez,2001-01-31
024306,benito,juárez,domínguez,2000-05-12
024307,roberto,gómez,bolaños,2000-02-06
024308,cirilo,godinez,gutierritos,2000-11-08
024309,herculano,cedillo,chico,2000-07-11
024310,antonio,lópez,de santa ana,2000-04-18
024311,leopoldo,garcía,lópez,2001-02-12
024312,margarita,flores,rosas,2001-08-11
024313,agustín,melgar,jiménez,2000-12-14
024314,julieta,capuleto,padilla,2001-05-19
024315,romeo,montesco,nannini,2001-04-13
024316,cristina,aguilera,torres,2001-11-15
024317,juana,de asbaje,álvarez,2000-01-01
024318,carlos,martell,franco,2000-08-04
024319,angélica ,rivera,hurtado,2000-12-02
024320,susanito,peñafiel,pardavé,2001-06-24
024321,isabel,castilla,sicilia,2001-10-10
024322,fernando,aragón,navarro,2001-04-25
024323,lucía ,méndez,adame,2001-07-18
024324,daniela,romo,saavedra,2001-09-04
024325,javier,solís,estevez,2000-06-17
024326,rosa,espinosa,del campo,2000-04-30
024327,agustín,lara,madrid,2001-02-24
024328,xóchitl,pérez,esmit,2001-10-22
024329,rubi,ibarra,garcía,2000-09-09
024330,diego,luna,gutiérrez,2000-09-21
024331,jorge,negrete,vega,2001-12-09
024332,carolina,herrera,hernández,2000-11-20
024333,tamara,villa,juárez,2000-12-26
024334,ricardo,tapia,enriquez,2000-05-24
024335,bruno,diaz,ricardez,2001-07-30
024336,adolfo,ruiz,cortina,2000-04-06
024337,flor,de la fuente,arenas,2000-07-23
024338,euduviges,volker,fuchs,2000-08-16
024339,ludmila,carrasco,morales,2001-04-01
024340,gokú fernando,martínez,gonzález,2000-10-03
024341,pedro,bello,buenrostro,2000-03-01
024342,pedro,cárdenas,rosas,2001-08-23
024343,estefanía,grimaldi,palacios,2001-05-31
024344,joaquín,guzmán,loaeza,2001-01-19
024345,vicente,fernández,nuñez,2001-05-07
024346,juvenal,bovino,becerra,2000-01-13
024347,mauricio,garcés,galán,2000-08-28
024348,macarena,alegre,valls,2001-11-27
024349,toribio,cabeza de vaca,farías,2000-06-29
024350,alejandra,guzmán,paniagua,2001-06-12
024351,tiburcio,del río,laguna,2001-01-07
024352,eustorgio,guerrero,blanco,2000-01-25
024353,axayácatl,zenhuantzin,moctezuma,2001-03-20
024354,usnabi,cruz,chairez,2000-03-25
024355,martín,martín del campo,martínez,2001-03-08
024356,sancho,sánchez,sánchez,2001-09-28
024357,leonardo,león,bravo,2000-02-18
024358,dolores,de la muela,grande,2000-10-27
024359,casimiro,sordo,barroso,2000-03-13
