NAME,LAST NAME,COUNTRY OF ORIGIN,CITY OF ORIGIN,UNIVERSITY OF ORIGIN,AVERAGE,EXAM
Iñaki,Erreconerrechea,España,Bilbao,Universidad de Navarra,9.7,8
Björn,Algosson,Suecia,Västerås,Uppsala University,8.3,9.6
Chales Oliver,Jones,Estados Unidos,Little Rock,Stanford University,8,7.7
Francois,Lacroix,Francia,Burdeos,La Sorbonne,8.2,6.5
Hermann,Von Richtofen,Alemania,Stuttgart,Ludwig Maximilians Universität München,8.8,7.1
Kepa,Arrizabalaga,España,Irún,Universitat de Barcelona,8.2,7.9
Mikhail,Yakovlev,Rusia,Novosibirsk,Lomonosov Moscow State University,9.2,9.3
Vittorio,Corleone,Italia,Nápoles,Universitá degli studi di Roma La Sapienza,7.9,8.5
Yitzhac,Rabin,Israel,Haifa,Tel Aviv University,7.7,8.1
Kim,Jong,Corea,Pusan,Seoul National University,9.5,9.9
Yasutaka,Uchiyama,Japón,Hiroshima,University of Tsukuba,8,9.3
Mahaveer,Raghunathan,India,Kolkata,University of Delhi,9.6,6.9
Zhizhen,Zhang,China,Shenyang,Shanghai Jiao Tong University,9.9,8.4
Pamela,Churchill,Inglaterra,Nottingham,University of Oxford,10,10
Roelof,Van der Vyver,Holanda,Almelo,Utrecht University,8.4,7.4
Baratunde,Aubameyang,Gabón,Libreville,Université de Masuku,8.8,7.9
Wade,Winston,Canadá,Saskatoon,University of Saskatchewan,8.1,7.5
Mackenzie,McDonald,Estados Unidos,Jacksonville,University of Florida,9.5,8.5
Joseph,Gordon,Estados Unidos,Biloxi,Johns Hopkins University,9.3,6.9
Joao,Santos,Brasil,Manaus,Universidade de Sao Paulo,7.8,9.4
Lisa,Simpson,Estados Unidos,Springfield,Yale University,9.6,9.6
Thomas,Wilson,Estados Unidos,Brooklyn,Purdue University,9.5,8.9
Angus,Young,Australia,Wagga wagga,University of Melbourne,8,8
Connor,McLeoud,Escocia,Glasgow,University of Edinburgh,9.8,9
Kim,Jong,Corea,Pusan,Seoul National University,9.5,9.9
Francois,Lacroix,Francia,Burdeos,La Sorbonne,8.2,6.5
