ID,Last Name,Name,Categoría,Area,Category,Salary,Entrance date,Date of birth
1079,Price,Ellen,Aux. Administrativo,Administration,Printer,29982.58,1986-03-24,1962-12-02
1290,Cooper,Linda,Aux. Administrativo,Administration,Fax,26113.86,1985-01-03,1966-04-03
1291,Constance,Burt,Aux. Administrativo,Administration,Printer,35785.66,1984-12-26,1956-04-14
1368,Wu,Tammy,Aux. Administrativo,Administration,Fax,32884.12,1983-03-11,1959-05-08
1530,Stewart,Iain,Aux. Administrativo,Administration,Printer,25146.68,1991-01-20,1967-01-15
1557,Bates,Lisa,Aux. Administrativo,Administration,Copy Machine,27081.04,1981-11-18,1965-09-22
1676,Wells,Jason,Aux. Administrativo,Administration,Copy Machine,23212.32,1981-10-18,1969-09-12
1793,Able,Aaron,Aux. Administrativo,Administration,Fax,24179.5,1990-12-16,1968-10-14
1961,Mueller,Kris,Aux. Administrativo,Administration,Fax,27081.04,1986-11-05,1965-04-02
1967,Aruda,Felice,Aux. Administrativo,Administration,Copy Machine,23212.32,1991-11-09,1969-05-15
1056,Gonzales,Joe,Director Unidad,Administration,Copy Machine,116511.36,1979-10-25,1937-08-24
1725,Hodge,Alex,Director Unidad,Administration,Printer,79061.28,1978-02-12,1955-05-26
1908,Zostoc,Melissa,Director Unidad,Administration,Fax,72819.6,1984-05-15,1958-09-21
1968,Larssen,Erika,Office Manager,Administration,Printer,65821.56,1982-04-05,1951-09-28
1153,Plant,Allen,Aux. Admin. Unidad,Accounting,Printer,28043.68,1990-01-13,1965-11-03
1675,Melendez,Jaime,Aux. Admin. Unidad,Accounting,Fax,29045.24,1992-03-17,1964-01-28
1960,Fontaine,Jean,Aux. Admin. Unidad,Accounting,Copy Machine,28043.68,1986-11-13,1965-03-22
1011,Gorton,Hazel,Auxiliar Contable,Accounting,Copy Machine,27597.85,1986-02-03,1964-11-21
1152,Henders,Mark,Auxiliar Contable,Accounting,Printer,26646.2,1990-01-21,1965-10-23
1516,Bell,Tom,Auxiliar Contable,Accounting,Printer,28549.5,1985-03-06,1963-06-26
1674,Boughton,Frank,Auxiliar Contable,Accounting,Fax,27597.85,1992-03-25,1964-01-17
1975,Franklin,Larry,Auxiliar Contable,Accounting,Copy Machine,21887.95,1991-05-07,1970-09-28
1300,Richards,Phillip,Contable,Accounting,Printer,30451.68,1989-12-13,1965-09-24
1330,Selznick,Anna,Contable,Accounting,Copy Machine,31539.24,1989-02-14,1964-05-17
1573,Robbins,Bob,Contable,Accounting,Fax,35889.48,1988-07-07,1960-05-31
1657,Wells,Rose,Contable,Accounting,Printer,32626.8,1987-12-06,1963-10-10
1931,Mueller,Ursula,Contable,Accounting,Copy Machine,26101.44,1989-06-20,1969-05-28
1932,McGuire,Ellen,Contable,Accounting,Fax,47852.64,1989-06-12,1949-06-08
1054,Smith,Howard,Aux. Diseño,Design,Copy Machine,25176.06,1991-04-16,1967-08-09
1075,Kane,Sheryl,Aux. Diseño,Design,Printer,23239.44,1992-08-07,1969-08-28
1966,Corwick,Rob,Aux. Diseño,Design,Fax,23239.44,1991-11-17,1969-05-04
1067,Scote,Gail,Especialista Diseño,Design,Fax,36939.84,1987-09-20,1961-09-30
1695,Nelson,Ed,Especialista Diseño,Design,Fax,38094.21,1984-10-20,1960-01-05
1758,Brwyne,Melia,Especialista Diseño,Design,Printer,35785.47,1982-03-18,1962-10-23
1792,Barton,Eileen,Especialista Diseño,Design,Copy Machine,28859.25,1990-12-24,1968-10-03
1977,Maguire,Mollie,Especialista Diseño,Design,Copy Machine,30013.62,1980-06-13,1967-09-15
1041,Tercan,Robert,Aux. Admin. Unidad,R & D,Printer,28043.68,1992-04-16,1965-01-25
