University ID,Last Name,First Name,MI,Prog Code,Major,Class,FT/PT,Residence Hall
9100,Kawamoto,Motonari,,BL-BI,Biology,Senior,Full time,Newton
9101,Niwa,Romi,,BL-GEOL,Geology,Senior,Full time,King
9102,Echevarría Agosto,Raffi,,BL-BUS,Business,Sophomore,Part time,Abernathy
9103,Cruz Alanis,Jasper,,BL-MUS,Music,Masters,Full time,Abernathy
9104,Martinez,Mary,A,BL-EDUC,Education,Doctorate,Full time,Seale
9105,Cotto Alfaro,Bernabé,,BL-JOUR,Journalism,Senior,Full time,Carmichael
9106,Valles Amador,Jeny,,BL-OPT,Optometry,Professional Fourth ,Full time,off-campus
9107,Rainey,David,C,BL-BUS,Business,Senior,Part time,Seale
9108,Barraza Anguiano,Lorujama,,BL-UDIV,Theatre,Sophomore,Full time,off-campus
9109,Nemoto,Haruna,,BL-EDUC,Education,Junior,Full time,Jackson
9110,Abe,Osami,,BL-AMID,Apparel Merchandising,Senior,Full time,Seale
9111,Lozano Aranda,Amilcar,,BL-EALC,East Asian Language and Culture,Junior,Part time,Evers
9112,Alva Arce,Romelio,,BL-EDUC,Education,Senior,Full time,Seale
9113,Muñoz Arce,Aurea,,BL-HPER,Health,Sophomore,Full time,Newton
9114,Hernández Arteaga,Zuleica,,BL-FINA,Fine Arts,Junior,Full time,off-campus
9115,Woosley,Rebecca,J,BL-BI,Health,Sophomore,Full time,Evers
9116,Asai,Kiyotaka,,BL-JOUR,Journalism,Junior,Full time,Evers
9117,Takaki,Rieka,,BL-EDUC,Education,Junior,Full time,Carmichael
9118,Vicente,David,R,BL-MUS,Music,Junior,Full time,Jackson
9119,Cordova Avilés,Nasha,,BL-CJUS,Criminal Justice,Junior,Full time,King
9120,Shaw,Richard,L,BL-BI,Biology,Junior,Full time,off-campus
9121,Tyler,Ella,B,BL-BUS,Business,Sophomore,Full time,Carmichael
9122,Riddick,Robert,M,BL-INFO,Informatics,Junior,Part time,Evers
9123,Hurtado Barela,Dunstano,,BL-PSY,Psychology,Senior,Full time,Abernathy
9124,Wester,Lisa,G,BL-BUS,Business,Junior,Full time,Seale
9125,Hardin,Lucien,R,BL-PSY,Psychology,Senior,Full time,King
9126,Chang,Jacob,G,BL-FINA,Fine Arts,Senior,Part time,Seale
9127,Cervántez Benavidez,Jovianne,,BL-EDUC,Education,Senior,Full time,King
9128,Connors,April,K,BL-SCS,Music,Undergrad Special,Part time,Newton
9129,Vasquez,Geraldine,W,BL-BUS,Business,Sophomore,Full time,Seale
9130,Lucas,Julio,D,BL-BUS,Business,Senior,Full time,Seale
