Code,Names,1st Last Name,2nd Last Name,DOB,Department,Branch,Start date,Salary,Bonus
GE-OAN94,Ana,Pérez,Chavez,1991-10-29,Administration,Tlalpan,2014-10-23,7876.8496864470735,393.8424843223537
SE-OEC57,Pamela,López,Ortega,1992-08-27,Administration,Tlaltenango,2019-10-09,6028.515125894337,301.42575629471685
GE-SAR51,Rubi,Gómez,García,1991-04-12,Logistics,Azcapozalco,2012-02-12,6373.6382109037795,318.681910545189
SU-AHI98,Diego,Luna,González,1994-06-28,Human resources,Tlaltenango,2016-07-14,2191.3298960714255,109.56649480357129
ED-AIG66,Jorge,Negrete,Vega,1993-12-24,Marketing,Centro,2020-05-05,2156.762596121761,107.83812980608805
ED-SEJ97,Carolina,Herrera,Hernández,1994-05-22,Logistics,Tlalpan,2016-08-03,5664.50788628096,283.225394314048
ED-SAC88,Tamara,Villa,Juárez,1994-06-13,Accounting,Azcapozalco,2019-01-20,6319.52100766095,315.97605038304755
DI-LER98,Ricardo,Tapia,Enriquez,1992-02-14,Logistics,Tlalpan,2017-02-08,4664.642736662653,233.23213683313267
ED-OAZ93,Bruno,Diaz,Ricardez,1991-04-13,Accounting,Centro,2011-07-31,8336.615501591163,416.8307750795582
JU-EUT49,Karina,Ruiz,Contreras ,1994-10-22,Logistics,Tlaltenango,2017-11-16,7425.167077136655,371.2583538568328
ED-OOC60,Rosa,Flores,Flores ,1990-04-23,Accounting,Azcapozalco,2013-01-22,2246.990366234847,112.34951831174236
MI-EON29,Euduviges,Ramirez,Osorio,1993-10-02,Logistics,Centro,2018-09-26,6130.6399923417375,306.5319996170869
DI-AOR46,Ludmila,Carrasco,Morales,1993-06-10,Administration,Tlaltenango,2014-10-31,3150.7313638604237,157.5365681930212
MI-RLB28,Andrés,Rodriguez,Carrera,1994-08-03,Marketing,Centro,2017-03-12,3435.7732767238817,171.7886638361941
JU-OSB17,Valeria,Buenrostro,Robles,1990-05-19,Accounting,Tlalpan,2015-07-03,1545.9874720036169,77.29937360018084
ED-ASD85,José,Larios,Casas,1990-09-19,Accounting,Centro,2014-09-13,4534.685624048166,226.73428120240828
ED-OAS81,Pedro,Cárdenas,Rosas,1990-02-12,Administration,Centro,2018-03-31,2855.607069292743,142.78035346463716
DI-DER50,Estefanía,Toledo,Ramos,1991-06-23,Logistics,Tlalpan,2014-12-15,6623.868954214595,331.19344771072974
JU-OEN54,Paulina,Rubio,Vallejo,1991-05-20,Logistics,Tlaltenango,2014-03-02,3531.081394098997,176.55406970494985
MI-OST29,Vicente,Fernández,Nuñez,1990-03-16,Human resources,Tlalpan,2014-08-10,4737.202840170557,236.86014200852784
JU-NON42,Josefina,Tovar,Gutiérrez,1994-06-06,Administration,Tlalpan,2016-05-17,2556.175132405632,127.80875662028161
FI-AAB54,Mauricio,Garcés,Castillo,1991-11-27,Accounting,Azcapozalco,2019-04-12,5915.780625896817,295.78903129484087
TE-ECN22,Marcela,Palacios,Mendoza,1992-12-09,Accounting,Centro,2016-10-03,2927,146.35
AU-FHW89,Guillermo,Blanco,Farías,1995-03-21,Logistics,Tlaltenango,2019-07-15,3448,172.4
CU-OSI54,Alejandra,Guzmán,Paniagua,1993-08-14,Administration,Centro,2015-03-24,7033,351.65
AG-NUE42,Tiburcio,Padilla,Guerrero,1994-04-01,Marketing,Tlalpan,2019-05-30,5320,266
DI-UAS-32,Eustorgio,Alvarez,Jiménez,1992-11-23,Human resources,Azcapozalco,2016-01-17,4527,226.35
