NAME,POSITION,PROFESSION,AGE,RAISE,MONTHLY SALARY
Jose Galvez,Gerente de Produccion,Ing. Quimico industrial,36,0.1,35000
Pedro Gutierrez,Tecnico,Tecnico en herramientas,26,0.1,14500
Alicia Zeta,Secretaria,Secretaria,26,0.1,14650
Angelica Ecutia,Afanadora,Secundaria,43,0.1,14650
Soraya Altamirano,Recepcionista,Secretaria,27,0.1,18600
Antonio Cortez,Tecnico Calificado,Tec.en Hemtas y Mot.,24,0.1,17542
Federico Sanchez,Asesor,Lic. En Mercadoctenia,36,0.1,22581
Wendy Anzastiga,Capturista,Capturista,23,0.1,15554
Veronica Buenrostro,Lider de Proyectos,Ing. Industrial,29,0.1,24554
Ofelia Galindo,Jefe de Sistemas,Lic. En Informatica,28,0.1,21313
Cerafin Puente,Supervisor de Planta,Ing. En Produccion,45,0.1,34584
Sergio Sandoval,Obrero,Preparatoria,34,0.1,14650
Alejandro Hernandez,Director,Lic. En Comercio exterior,54,0.1,32500
Anderea Jimenez,Secretaria Bilingüe,Secretaria,26,0.1,14650
Marisol Alcantara,Subgerente de Produccion,Ing. Quimico industrial,48,0.1,32000
Miguel Paredes,Tecnico,Tecnico en electricidad,29,0.1,16000
Oscar Pulido,Obrero,Preparatoria,28,0.1,14650
Pablo Moctezuma,Vigilante,Secundaria,37,0.1,14650
Cerafin Lechuga,Supervisor de Planta,Ing. En Produccion,45,0.1,45589
Sergio Santiago,Obrero,Preparatoria,34,0.1,14650
Alejandro Higareda,Director,Lic en Comercio exterior,54,0.1,33648
Andrea Jacome,Secretaria Bilingüe,Secretaria,26,0.1,14650
Marisol Alvirde,Subgerente de Produccion,"Ing, Quimico Industrial",48,0.1,32561
Miguel Puebla,Tecnico,Tecnico en electricidad,29,0.1,16541
Oscar Pedregal,Obrero,Preparatoria,28,0.1,14650
Arturo Altamirano,Vigilante,Secundaria,37,0.1,14650
Aniseto Higareda,Director,Lic. En Comercio exterior,54,0.1,25643
Alicia Jacome,Secretaria Bilingüe,Secretaria,26,0.1,14650
Maria Alvirde,Subgerente de Produccion,Ing. Quimico industrial,48,0.1,36453
Memo Puebla,Tecnico,Tecnico en electricidad,29,0.1,16532
Olegario Pedregal,Obrero,Preparatoria,28,0.1,14650
Pedro altamirano,Vigilante,Secundaria,37,0.1,10000
Roberto Tinoco,Velador,Secundaria,45,0.1,10000
