Date of registration,Name,Monthly fees,State or province,Month
38732,Francisco Chaves,1400,NV,January
38732,Francisco Chaves,105,NV,January
38737,Pilar Pinilla Gallego,300,NY,January
38737,Pilar Pinilla Gallego,530,NY,January
38737,Pilar Pinilla Gallego,35,NY,January
38739,María Jesús Cuesta,270,NV,January
38739,María Jesús Cuesta,920,NV,January
38747,Juan Carlos Rivas,276,OR,January
38754,Francisco Chaves,184,NY,February
38758,Pilar Pinilla Gallego,127.5,CO,February
38771,María Jesús Cuesta,1930,CA,February
38782,Luis Bonifaz,680,WI,March
38786,Francisco Chaves,13800,TN,March
38798,Pilar Pinilla Gallego,1275,OR,March
38800,María Jesús Cuesta,598,IL,March
38800,María González,250,IL,March
38800,María González,220,IL,March
38800,María González,92,IL,March
38814,María González,482.5,TN,April
38814,María González,920,TN,April
38812,Humberto Acevedo,1950,UT,April
38812,Humberto Acevedo,1740,UT,April
38815,Juan Carlos Rivas,4200,WI,April
38812,María Jesús Cuesta,1000,OR,April
38812,María Jesús Cuesta,230,OR,April
38812,Francisco Chaves,200,IL,April
38812,Francisco Chaves,533.75,FL,April
38812,Francisco Chaves,289.5,FL,April
38812,Francisco Chaves,552,FL,April
38810,Jesús Escolar,127.5,WI,April
38812,María González,1218,CO,April
38891,Jesús Escolar,900,WI,June
38891,Jesús Escolar,1590,WI,June
38873,María González,1560,CO,June
38873,Francisco Chaves,2250,FL,June
38873,Francisco Chaves,660,IL,June
38873,María Jesús Cuesta,510,OR,June
38876,Juan Carlos Rivas,510,WI,June
38873,Humberto Acevedo,96.5,UT,June
38875,María González,230,TN,June
38861,María González,736,Madrid,May
38861,María González,800,FL,May
38861,María González,52.5,IL,May
38861,María Jesús Cuesta,200,IL,May
38837,Juan Carlos Rivas,1392,OR,April
38832,María Jesús Cuesta,500,CA,April
38832,María Jesús Cuesta,120,CA,April
38829,Pilar Pinilla Gallego,3240,NY,April
38829,Pilar Pinilla Gallego,280,NY,April
