Order ID,Shipment name,Shipping Address,Destination city,State,Shipping country/region,Client ID,Order Date,Ship Date,Price,Quantity,Discount,Extended price,Shipping costs,Product Name
30,Karen Toh,"Calle Vigesimoséptima, 123",Las Vegas,NV,México,27,2006-01-15,2006-01-22,14,100,0,1400,200,Cerveza Northwind Traders
30,Karen Toh,"Calle Vigesimoséptima, 123",Las Vegas,NV,México,27,2006-01-15,2006-01-22,3.5,30,0,105,200,Ciruelas pasas Northwind Traders
31,Christina Lee,"Calle Cuarta, 123",Nueva York,NY,México,4,2006-01-20,2006-01-22,30,10,0,300,5,Peras secas Northwind Traders
31,Christina Lee,"Calle Cuarta, 123",Nueva York,NY,México,4,2006-01-20,2006-01-22,53,10,0,530,5,Manzanas secas Northwind Traders
31,Christina Lee,"Calle Cuarta, 123",Nueva York,NY,México,4,2006-01-20,2006-01-22,3.5,10,0,35,5,Ciruelas pasas Northwind Traders
32,John Edwards,"Calle Decimosegunda, 123",Las Vegas,NV,México,12,2006-01-22,2006-01-22,18,15,0,270,5,Té Chai Northwind Traders
32,John Edwards,"Calle Decimosegunda, 123",Las Vegas,NV,México,12,2006-01-22,2006-01-22,46,20,0,920,5,Café Northwind Traders
33,Elizabeth Andersen,"Calle Octava, 123",Portland,OR,México,8,2006-01-30,2006-01-31,9.2,30,0,276,50,Galletas de chocolate surtidas Northwind Traders
34,Christina Lee,"Calle Cuarta, 123",Nueva York,NY,México,4,2006-02-06,2006-02-07,9.2,20,0,184,4,Galletas de chocolate surtidas Northwind Traders
35,Soo Jung Lee,"Calle Vigesimonovena, 123",Denver,CO,México,29,2006-02-10,2006-02-12,12.75,10,0,127.5,7,Chocolate Northwind Traders
36,Thomas Axen,"Calle Tercera, 123",Los Ángeles,CA,México,3,2006-02-23,2006-02-25,9.65,200,0,1930,7,Sopa de almejas Northwind Traders
37,Francisco Pérez-Olaeta,"Calle Sexta, 123",Milwaukee,WI,México,6,2006-03-06,2006-03-09,40,17,0,680,12,Salsa curry Northwind Traders
38,Amritansh Raghav,"Calle Vigesimoséptima, 123",Memphis,TN,México,28,2006-03-10,2006-03-11,46,300,0,13800,10,Café Northwind Traders
39,Elizabeth Andersen,"Calle Octava, 123",Portland,OR,México,8,2006-03-22,2006-03-24,12.75,100,0,1275,5,Chocolate Northwind Traders
40,Roland Wacker,"Calle Décima, 123",Chicago,IL,México,10,2006-03-24,2006-03-24,2.99,200,0,598,9,Té verde Northwind Traders
41,Ming-Yang Xie,"Calle Séptima, 123",Boise,ID,México,7,2006-03-24,,46,300,0,13800,0,Café Northwind Traders
42,Roland Wacker,"Calle Décima, 123",Chicago,IL,México,10,2006-03-24,2006-04-07,25,10,0,250,0,Mermelada de moras y frambuesas Northwind Traders
