Number,Month,Sales Rep,Sales,Zone
1,January,Ryan,1046700,South
2,January,Jacob,680006,North
3,January,Anderson,727370,South
4,January,Emily,500543,North
5,January,Richard,1004356,East
6,February,Kevin,1168017,West
7,February,Rachel,545785,East
8,February,Jenna,755408,West
9,January,Monica,1100283,West
10,January,Chandler,1132846,East
11,January,Phoebe,1101206,West
12,February,Gordon,882264,South
13,April,Joey,1059305,South
14,March,Johnson,841687,North
15,March,Kristen,634195,South
16,March,Patrick,626240,East
17,February,David,531543,South
18,February,Adam,888762,West
19,February,Bell,1137234,South
20,January,Nathalia,1039741,North
