Student,Result Date,Teacher,Subject,Score
Ross,2022-11-07,Arteus,Physics,91
Jim,2022-11-09,Freya,Mathematics,89
Anderson,2022-11-10,Baldur,Chemistry,58
Heather,2022-11-07,Arteus,Physics,17
Richard,2022-11-07,Arteus,Physics,34
Jordan,2022-11-10,Baldur,Chemistry,74
Rachel,2022-11-09,Freya,Mathematics,18
Jenna,2022-11-09,Freya,Mathematics,37
Monica,2022-11-10,Baldur,Chemistry,79
Chandler,2022-11-09,Freya,Mathematics,5
Phoebe,2022-11-09,Freya,Mathematics,84
Gordon,2022-11-07,Arteus,Physics,58
Joey,2022-11-09,Freya,Mathematics,86
Johnson,2022-11-09,Freya,Mathematics,44
Kristen,2022-11-07,Arteus,Physics,36
Patrick,2022-11-10,Baldur,Chemistry,53
David,2022-11-09,Freya,Mathematics,29
Adam,2022-11-07,Arteus,Physics,22
Bell,2022-11-10,Baldur,Chemistry,44
Nathalia,2022-11-07,Arteus,Physics,89
