Student,Result Date,Teacher,Score,Subject
Ross,2022-11-07,Arteus,91,Physics
Jim,2022-11-07,Arteus,89,Physics
Anderson,2022-11-07,Arteus,58,Physics
Heather,2022-11-07,Arteus,17,Physics
Richard,2022-11-07,Arteus,34,Physics
Jordan,2022-11-07,Arteus,74,Physics
Rachel,2022-11-07,Arteus,18,Physics
Jenna,2022-11-07,Arteus,37,Physics
Monica,2022-11-07,Arteus,79,Physics
Chandler,2022-11-07,Arteus,5,Physics
Phoebe,2022-11-07,Arteus,84,Physics
Gordon,2022-11-07,Arteus,58,Physics
Joey,2022-11-07,Arteus,86,Physics
Johnson,2022-11-07,Arteus,44,Physics
Kristen,2022-11-07,Arteus,36,Physics
Patrick,2022-11-07,Arteus,53,Physics
David,2022-11-07,Arteus,29,Physics
Adam,2022-11-07,Arteus,22,Physics
Bell,2022-11-07,Arteus,44,Physics
Nathalia,2022-11-07,Arteus,89,Physics
