Code,Name,Last Name,DOB,Month of birth,Department,Position,Zone,Comission
1,Cristina,Martínez,1972-04-03,april,Commercial,Manager,North,1262.13
2,Jorge,Rico,1972-08-21,august,Administration,Director,South,2404.05
3,Luis,Guerrero,1971-08-21,august,Marketing,Product manager,Center,1502.53
4,Oscar,Cortina,1972-01-03,january,Marketing,Product manager,South,1803.04
5,Lourdes,Merino,1945-04-01,april,Administration,Administrative,Center,781.32
6,Jaime,Sánchez,1972-02-20,february,Marketing,Assistant,Center,721.21
7,José,Bonaparte,1970-02-20,february,Administration,Administrative,North,781.32
8,Eva,Esteve,1971-07-04,july,Commercial,Manager,South,2202.02
9,Federico,García,1965-06-12,june,Marketing,Director,Center,2404.05
10,Merche,Torres,1972-03-20,march,Commercial,Assistant,South,661.11
11,Jordi,Fontana,1940-03-18,march,Commercial,Director,North,1502.53
12,Ana,Antón,1972-09-01,september,Administration,Administrative,North,811.37
13,Sergio,Galindo,1970-09-01,september,Marketing,Product manager,Center,1352.28
14,Elena,Casado,1968-07-05,july,Commercial,Director,South,2554.3
15,Nuria,Pérez,1958-09-27,september,Commercial,Manager,Center,901.52
16,Diego,Martín,1984-06-06,june,Administration,Administrative,North,841.42
