Code,Manager,S1,S2,S3,S4,S5,S6
1,Cristina Martínez,97766,117781,110427,61797,79582,114355
2,Jorge Rico,60617,81509,118094,64107,86932,109628
3,Luis Guerrero,93541,78058,63809,73547,82075,66538
4,Oscar Cortina,113800,96225,115228,74552,111844,108302
5,Lourdes Merino,60308,101472,104675,79094,76178,89592
6,Jaime Sánchez,63552,87142,104293,83653,71879,80233
7,José Bonaparte,72113,113223,89894,84510,65292,93034
8,Eva Esteve,83325,91961,63715,85888,60087,99368
9,Federico García,101112,77370,83536,87830,105230,99962
10,Merche Torres,91382,71760,88433,94023,91471,101759
11,Jordi Fontana,116245,104456,82319,94977,113284,99593
12,Ana Antón,100636,85802,84114,99795,63962,109401
13,Sergio Galindo,73092,113601,72541,100705,101159,98180
14,Elena Casado,73366,95318,88962,114364,108935,70349
15,Nuria Pérez,79042,83776,119645,115111,67717,86159
16,Diego Martín,117717,100574,83735,117963,86875,61116
