ID Empl,Last Name,Name,Position,Area,Section,Salary,Date of Entry
1011,Gorton,Hazel,Accounting Assistant,Accounting,Copy Machines,27597.85,1986-02-03
1012,Preston,Liza,Mechanical Eng.,Engineering,Printers,43394.15,1986-01-26
1041,Tercan,Robert,Administrative Auxiliar,R&D,Printers,28043.68,1992-04-16
1054,Smith,Howard,Desing auxiliar,Desing,Copy Machines,25176.06,1991-04-16
1055,Albert,Maxine,Administrative Auxiliar,Marketing,Copy Machines,26040.56,1991-04-08
1056,Gonzales,Joe,Unit Director,Administration,Copy Machines,116511.36,1979-10-25
1067,Scote,Gail,Desing Specialist,Desing,Fax,36939.84,1987-09-20
1068,Mann,Alyssa,Mechanical Eng.,Engineering,Printers,47883.2,1987-09-12
1075,Kane,Sheryl,Desing auxiliar,Desing,Printers,23239.44,1992-08-07
1076,McKormick,Brad,Chief engineer,Engineering,Copy Machines,105753.02,1979-07-30
1078,Hapsbuch,Kendrick,Administrative Auxiliar,Marketing,Printers,29982.58,1986-04-01
1079,Price,Ellen,Administrative Auxiliar,Administration,Printers,29982.58,1986-03-24
1080,Foss,Felix,Researcher,R&D,Printers,64738.18,1988-10-29
1152,Henders,Mark,Accounting Assistant,Accounting,Printers,26646.2,1990-01-21
1153,Plant,Allen,Administrative Auxiliar,Accounting,Printers,28043.68,1990-01-13
1154,Solomon,Ari,Software Eng.,Engineering,Copy Machines,56177.3,1987-07-07
1167,Berwick,Sam,Representative,Marketing,Copy Machines,31913.88,1991-04-18
1168,Asonte,Toni,Administrative Auxiliar,Engineering,Fax,23035.88,1991-04-10
1169,Dorfberg,Jeremy,Software Eng.,Engineering,Copy Machines,34002.05,1992-10-13
1284,Bellwood,Frank,Product Manager,Marketing,Fax,46486.05,1985-01-04
1285,Taylor,Ralph,Group Mgr.,Marketing,Printers,77179.15,1984-12-27
1290,Cooper,Linda,Administrative Auxiliar,Administration,Fax,26113.86,1985-01-03
1291,Constance,Burt,Administrative Auxiliar,Administration,Printers,35785.66,1984-12-26
1292,Seidel,Matt,Representative,Marketing,Printers,51339.72,1987-11-20
1293,Cronwith,Brent,Technician,Engineering,Printers,40897.35,1984-09-14
1294,North,Robert,Mechanical Eng.,Engineering,Fax,58357.65,1984-09-06
1299,Simpson,Sandrae,Aux. Technician,Engineering,Copy Machines,24854.2,1989-12-21
1300,Richards,Phillip,Accountant,Accounting,Printers,30451.68,1989-12-13
1301,Sindole,Randy,Administrative Auxiliar,Marketing,Fax,27081.04,1984-08-06
1301,Sofer,Ariel,Technician Eng,Engineering,Printers,58325.82,1986-01-09
1302,Berg,Bobby,Engineering Director,Engineering,Fax,79280.16,1984-07-29
1303,Lark,Donald,Software Eng.,Engineering,Printers,56177.3,1988-03-03
1310,Smith,Ellen,Technician,Engineering,Fax,30410.85,1986-10-04
1311,Cane,Nate,Product Manager,Marketing,Printers,43486.95,1986-09-26
1329,Vuanuo,Tuome,Technician,Engineering,Printers,30410.85,1989-02-22
1330,Selznick,Anna,Accountant,Accounting,Copy Machines,31539.24,1989-02-14
1331,Cash,Mary,Software Eng.,Engineering,Printers,42872.15,1989-05-11
1333,Szcznyck,Tadeuz,Technician,Engineering,Copy Machines,29362.2,1990-04-16
1334,Kaneko,Midori,Administrative Auxiliar,R&D,Fax,28043.68,1990-04-08
1352,Ygarre,Lisa,Aux. Technician,Engineering,Printers,31067.75,1982-09-18
1353,Hardy,Bill,Chief researcher,R&D,Printers,59455.2,1982-09-10
1354,Beech,Susan,Technician Eng,Engineering,Copy Machines,69070.05,1986-05-06
1359,Morton,Sara,Product Manager,Marketing,Printers,49485.15,1990-08-09
1360,Raye,Alice,Administrative Auxiliar,Engineering,Copy Machines,33051.48,1988-08-01
1361,Stone,Cindy,Technician,R&D,Printers,34605.45,1988-07-22
1368,Wu,Tammy,Administrative Auxiliar,Administration,Fax,32884.12,1983-03-11
1369,Barth,Sandra,Chief researcher,R&D,Fax,57756.48,1983-03-03
1370,Townes,Everett,Researcher,R&D,Printers,53685.32,1987-11-27
1426,Lampstone,Pete,Representative,Marketing,Fax,34689,1977-09-08
1427,Price,David,Chief researcher,R&D,Copy Machines,59455.2,1977-08-31
1428,Ferngood,Jules,Technician Eng,Engineering,Printers,53721.15,1986-11-12
1509,Kegler,Pam,Administrative Auxiliar,Engineering,Fax,29982.58,1985-06-19
1510,White,Jessica,Mechanical Eng.,Engineering,Copy Machines,46386.85,1985-06-11
1516,Bell,Tom,Accounting Assistant,Accounting,Printers,28549.5,1985-03-06
1517,Quan,Karen,Engineering Director,Engineering,Printers,62589.6,1985-02-26
1518,Smythe,Leslie,Software Eng.,Engineering,Printers,44350.5,1990-06-18
1529,Kellerman,Tommie,Administrative Auxiliar,Engineering,Printers,25146.68,1987-01-28
1530,Stewart,Iain,Administrative Auxiliar,Administration,Printers,25146.68,1991-01-20
1531,Lempert,Alexandra,Researcher,R&D,Copy Machines,41053.48,1986-05-11
1556,Davison,Karen,Technician,Engineering,Printers,29362.2,1981-11-26
1557,Bates,Lisa,Administrative Auxiliar,Administration,Copy Machines,27081.04,1981-11-18
1558,Sargent,Evelyn,Product Manager,Marketing,Copy Machines,41987.4,1982-10-16
1572,Tuppman,Lise-Anne,Technician,Engineering,Printers,34605.45,1988-07-15
1573,Robbins,Bob,Accountant,Accounting,Fax,35889.48,1988-07-07
1574,Weston,Sam,Technician Eng,Engineering,Fax,50651.37,1986-02-09
1656,Kourios,Theo,Administrative Auxiliar,Marketing,Copy Machines,29015.4,1987-12-14
1657,Wells,Rose,Accountant,Accounting,Printers,32626.8,1987-12-06
1658,Coyne,Dennis,Software Eng.,Engineering,Copy Machines,44350.5,1988-06-06
1673,Dixon-Waite,Sherrie,Administrative Auxiliar,Engineering,Copy Machines,29982.58,1990-04-16
1674,Cummins,Dave,Administrative Auxiliar,R&D,Copy Machines,31048.36,1990-04-08
1674,Boughton,Frank,Accounting Assistant,Accounting,Fax,27597.85,1992-03-25
1675,Miller,Janet,Representative,Marketing,Copy Machines,33301.44,1981-10-26
1675,Melendez,Jaime,Administrative Auxiliar,Accounting,Fax,29045.24,1992-03-17
1676,Wells,Jason,Administrative Auxiliar,Administration,Copy Machines,23212.32,1981-10-18
1677,Levine,Eric,Researcher,R&D,Fax,37895.52,1987-11-06
1695,Nelson,Ed,Desing Specialist,Desing,Fax,38094.21,1984-10-20
1696,Abdul,Cathy,Mechanical Eng.,Engineering,Copy Machines,79306.55,1984-10-12
1723,Alstain,Isolde,Technician,Engineering,Fax,29362.2,1990-08-06
1724,Chu,Steven,Administrative Auxiliar,Marketing,Printers,28043.68,1990-07-29
1724,Sammler,Mark,Product Manager,Marketing,Printers,58482.45,1978-02-10
1725,Farley,Sam,Unit Director,Marketing,Copy Machines,97096.35,1978-02-02
1725,Hodge,Alex,Unit Director,Administration,Printers,79061.28,1978-02-12
1758,Brwyne,Melia,Desing Specialist,Desing,Printers,35785.47,1982-03-18
1759,Alexi,Stephanie,Chief engineer,Engineering,Printers,61855.54,1982-03-10
1792,Barton,Eileen,Desing Specialist,Desing,Copy Machines,28859.25,1990-12-24
1793,Able,Aaron,Administrative Auxiliar,Administration,Fax,24179.5,1990-12-16
1794,Goldberg,Malcolm,Product Manager,Marketing,Fax,37488.75,1984-12-18
1814,Al-Sabah,Daoud,Aux. Technician,Engineering,Fax,21303.6,1989-03-04
