First semester general student's grades report of the 2028-2029 Financial Tools course ,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.25,0.25,0.4,0.1,0.8,0.2,GRADE,
Name,Father's Last Name,Mother's Last Name,Lab Pmt,State,Full name,Email,Age,Gender,Program,Period 1,Period 2,Final Exam,Homeworks,Theory Grade,Lab grade,Theory and Lab average,Final grade (adj)
Angélica ,Rivera,Hurtado,SI,Baja California Norte,,,,F,Finanzas,10,9.4,8.9,,,8,,
Susanito,Peñafiel,Pardavé,SI,Chihuahua,,,,M,Negocios,7.9,7.2,6.5,,,6,,
Isabel,Castilla,Sicilia,SI,Aguascalientes,,,,F,Finanzas,7.9,9.8,9,,,9,,
Fernando,Aragón,Navarro,,Campeche,,,,M,Negocios,6,4.3,8.3,,,8,,
Lucía ,Méndez,Pérez,,Chiapas,,,,F,Negocios,6.7,7.9,7.5,,,9,,
Daniela,Romo,Saavedra,,Tlaxcala,,,,F,Negocios,7.7,7.4,8.8,,,7,,
Javier,Solís,Estevez,SI,Morelos,,,,M,Finanzas,8.9,8,9.1,,,9,,
Rosa,Espinosa,del Campo,SI,Zacatecas,,,,F,RRHH,1,6.1,5,,,7,,
Agustín,Lara,Madrid,SI,Jalisco,,,,M,Finanzas,6.9,7.2,5,,,6,,
Ana,Pérez,Chavez,SI,Nayarit,,,,F,Marcadotecnia,10,9,8,,,8.5,,
Pamela,Churchill,Williams,,Hidalgo,,,,F,Negocios,4.4,5.8,6.2,,,7,,
Rubi,Gómez,García,SI,Guerrero,,,,F,Marcadotecnia,5.9,6.9,7.1,,,6.5,,
Diego,Luna,González,SI,Tlaxcala,,,,M,Finanzas,8,7.5,7,,,7.5,,
Jorge,Negrete,Vega,SI,Morelos,,,,M,Negocios,3.1,4.5,6.4,,,10,,
Carolina,Herrera,Hernández,,Zacatecas,,,,F,Finanzas,9.9,9.7,10,,,9.5,,
Tamara,Villa,Juárez,SI,Jalisco,,,,F,Negocios,7,8.2,9.4,,,9,,
Ricardo,Tapia,Enriquez,SI,Nayarit,,,,M,Negocios,7.5,8.1,6.4,,,8,,
Bruno,Diaz,Ricardez,SI,Hidalgo,,,,M,Negocios,8,9,9.1,,,9.5,,
Adolfo,Ruiz,Cortina,SI,Tlaxcala,,,,M,Finanzas,6.6,5.2,8.1,,,8,,
Rosa,Flores,Flores ,SI,Morelos,,,,F,RRHH,5.5,7.3,6.8,,,6,,
Euduviges,Ramirez,Osorio,,Zacatecas,,,,F,Finanzas,10,10,10,,,5.9,,
Ludmila,Carrasco,Morales,SI,Jalisco,,,,F,Marcadotecnia,8.7,8.4,8.6,,,8.5,,
Andrés,Rodriguez,Carrera,,Nayarit,,,,M,Negocios,7.4,3.4,6.8,,,6,,
Pedro,Bello,Buenrostro,,Hidalgo,,,,M,Marcadotecnia,8.1,8.6,7.7,,,8,,
Iñaki,Erreconerrechea,Zumalacárregui,SI,Tabasco,,,,M,Finanzas,5.8,4.4,7,,,6,,
Pedro,Cárdenas,Rosas,,Tabasco,,,,M,Negocios,9.9,10,9.7,,,9.5,,
Estefanía,Grimaldi,Palacios,SI,Tabasco,,,,F,Finanzas,9.4,8.9,9.5,,,9.5,,
Joaquín,Guzmán,Loaeza,,Tabasco,,,,M,Negocios,6.8,5.5,7,,,8,,
Vicente,Fernández,Nuñez,SI,Tabasco,,,,M,Negocios,7.2,6.7,7.6,,,5.2,,
Juvenal,Tovar,Gutiérrez,,Tabasco,,,,M,Negocios,8.1,7.4,7.7,,,7.5,,
Mauricio,Garcés,Castillo,,Puebla,,,,M,Finanzas,7.7,9.1,9.9,,,9,,
Macarena,Alegre,Tenorio,SI,Puebla,,,,F,RRHH,9.8,9.5,8.8,,,9.5,,
Toribio,Guerrero,Farías,SI,Tlaxcala,,,,M,Finanzas,10,9.7,9.4,,,10,,
Alejandra,Guzmán,Paniagua,SI,Morelos,,,,F,Marcadotecnia,8.7,8.8,9.3,,,9.5,,
Tiburcio,Laguna,Gamero,,Zacatecas,,,,M,Negocios,7.8,6.6,5.9,,,6,,
Eustorgio,Alvarez,Jiménez,SI,Oaxaca,,,,M,Marcadotecnia,5.7,6.8,6.6,,,6,,
