First semester general student's grades report of the 2028-2029 Financial Tools course ,,,,,,,,,,,,,,,,
Name,Father's Last Name,Mother's Last Name,Lab Pmt,State,Full name,Email,Age,Gender,Program,Period 1,Period 2,Final Exam,Theory Grade,Lab grade,Theory and Lab average,Final grade (adj)
Jennifer,López,Pérez,SI,Tamaulipas,,,,F,RRHH,7.1,8.9,8.4,,10,,
Justino,Castor,Sánchez,SI,Veracruz,,,,M,Conta,7.8,5.9,7.1,,8,,
Enrique,Iglesias,Grajeda,SI,Puebla,,,,M,Merca,6.2,6.8,8.7,,10,,
Paulina,Rubio,Esquivel,,Guanajuato,,,,F,Conta,8.3,9.2,8.8,,9,,
Juan,Escutia,Suárez,,Colima,,,,M,Negocios,9.1,8.2,8,,10,,
Carmen,García,López,,Tlaxcala,,,,F,Finanzas,6.6,8.8,9.7,,8,,
Benito,Juárez,Domínguez,SI,Morelos,,,,M,Merca,0,5.9,4.2,,6,,
Roberto,Gómez,Bolaños,SI,Morelos,,,,M,Merca,8.7,10,9.1,,5,,
Leonardo,Godinez,Gutierritos,SI,Morelos,,,,M,Finanzas,7.1,9.7,8.5,,6,,
Herculano,Cedillo,Flores,,Morelos,,,,M,Merca,8.8,9,7.3,,10,,
Antonio,López,De Santa Ana,SI,Morelos,,,,M,Finanzas,2.3,5.3,8.8,,7,,
Leopoldo,García,López,SI,Morelos,,,,M,RRHH,3.5,5.1,6.2,,10,,
Margarita,Flores,Rosas,,Morelos,,,,F,Merca,8.9,6.5,7.1,,9,,
Agustín,Melgar,Jiménez,SI,Morelos,,,,M,Finanzas,4.9,7.7,6.1,,9,,
Julieta,Capuleto,Padilla,SI,Jalisco,,,,F,Negocios,8.2,7,6.4,,8,,
Cristina,Aguilera,Torres,,Sinaloa,,,,F,Negocios,3.8,7.8,7,,9,,
Juana,De Asbaje,Álvarez,,Tamaulipas,,,,F,Merca,9.2,8.9,9.9,,9,,
Carlos,Martell,Franco,SI,Tamaulipas,,,,M,Finanzas,9.8,8.9,9.2,,5,,
