ID,Name,Father's surname,Mother's surname,DOB
084499,Angélica ,Rivera,Hurtado,2004-03-28 00:00:00
085960,Susanito,Peñafiel,Pardavé,2004-08-06 00:00:00
042411,Isabel,Castilla,Sicilia,2003-10-14 00:00:00
043914,Fernando,Aragón,Navarro,2002-12-17 00:00:00
044879,Lucía ,Méndez,Pérez,2003-06-28 00:00:00
025424,Daniela,Romo,Saavedra,2005-01-14 00:00:00
050810,Javier,Solís,Estevez,2005-02-08 00:00:00
089971,Rosa,Espinosa,del Campo,2003-07-30 00:00:00
057370,Agustín,Lara,Madrid,2004-07-22 00:00:00
072814,Ana,Pérez,Chavez,2005-02-20 00:00:00
029016,Pamela,Churchill,Williams,2003-01-08 00:00:00
016153,Rubi,Gómez,García,2004-02-12 00:00:00
052567,Diego,Luna,González,2004-07-13 00:00:00
009253,Jorge,Negrete,Vega,2002-08-07 00:00:00
027592,Carolina,Herrera,Hernández,2002-12-23 00:00:00
015275,Tamara,Villa,Juárez,2002-10-09 00:00:00
041300,Ricardo,Tapia,Enriquez,2002-11-29 00:00:00
067871,Bruno,Diaz,Ricardez,2004-12-15 00:00:00
051249,Adolfo,Ruiz,Cortina,2003-04-18 00:00:00
026716,Rosa,Flores,Flores ,2004-08-30 00:00:00
000348,Euduviges,Ramirez,Osorio,2002-07-05 00:00:00
023554,Ludmila,Carrasco,Morales,2003-03-30 00:00:00
029615,Andrés,Rodriguez,Carrera,2002-12-10 00:00:00
027323,Pedro,Bello,Buenrostro,2002-09-22 00:00:00
054287,Iñaki,Erreconerrechea,Zumalacárregui,2003-07-21 00:00:00
051665,Pedro,Cárdenas,Rosas,2004-08-06 00:00:00
057012,Estefanía,Grimaldi,Palacios,2002-06-19 00:00:00
010532,Joaquín,Guzmán,Loaeza,2003-03-03 00:00:00
054284,Vicente,Fernández,Nuñez,2003-03-06 00:00:00
035375,Juvenal,Tovar,Gutiérrez,2002-12-23 00:00:00
076306,Mauricio,Garcés,Castillo,2004-05-09 00:00:00
043090,Macarena,Alegre,Tenorio,2003-05-27 00:00:00
082680,Toribio,Guerrero,Farías,2004-03-23 00:00:00
020267,Alejandra,Guzmán,Paniagua,2004-10-10 00:00:00
048588,Tiburcio,Laguna,Gamero,2004-03-14 00:00:00
048536,Eustorgio,Alvarez,Jiménez,2003-08-23 00:00:00
013971,Jennifer,López,Pérez,2002-09-05 00:00:00
044359,Justino,Castor,Sánchez,2002-12-30 00:00:00
081145,Enrique,Iglesias,Grajeda,2004-07-08 00:00:00
097890,Paulina,Rubio,Esquivel,2002-08-04 00:00:00
044309,Juan,Escutia,Suárez,2004-10-02 00:00:00
053561,Carmen,García,López,2004-02-11 00:00:00
026199,Benito,Juárez,Domínguez,2003-11-09 00:00:00
028422,Roberto,Gómez,Bolaños,2003-08-15 00:00:00
064785,Leonardo,Godinez,Gutierritos,2003-03-24 00:00:00
030118,Herculano,Cedillo,Flores,2002-10-13 00:00:00
090922,Antonio,López,De Santa Ana,2004-11-05 00:00:00
077186,Leopoldo,García,López,2003-05-25 00:00:00
026614,Margarita,Flores,Rosas,2003-10-29 00:00:00
022604,Agustín,Melgar,Jiménez,2005-01-22 00:00:00
057921,Julieta,Capuleto,Padilla,2004-01-27 00:00:00
092871,Cristina,Aguilera,Torres,2002-10-22 00:00:00
029055,Juana,De Asbaje,Álvarez,2004-06-04 00:00:00
049383,Carlos,Martell,Franco,2003-08-30 00:00:00
