,,,,,,,,0.02,,,,,43985.0,,,,,
NUMBER,EMPLOYEE,ENTRANCE DATE,TYPE OF SALESPERSON,AMOUNT SOLD,BASE SALARY (MONTHLY),BASE SALARY (ANNUAL),SALES GOAL,SALES COMISSION,DIFFERENCE ($),DIFFERENCE (%),BONUS ABOVE GOAL (%),BONUS ABOVE GOAL ($),NO. YEARS,SENIORITY BONUS,TOTAL (ANNUAL),NET MONTHLY INCOME,AWARD WINNER,THANK YOU LETTER
1.0,Javier López,32874.0,A,22000000.0,,,,,,,,,,,,,,
2.0,Alejandra Guzmán,38139.0,B,16000000.0,,,,,,,,,,,,,,
3.0,Bruno Díaz,35855.0,A,19500000.0,,,,,,,,,,,,,,
4.0,Ricardo Tapia,41153.0,C,11500000.0,,,,,,,,,,,,,,
5.0,Jorge Negrete,43009.0,D,8000000.0,,,,,,,,,,,,,,
6.0,Juan Camaney,41852.0,C,10500000.0,,,,,,,,,,,,,,
7.0,María Félix,42401.0,D,4500000.0,,,,,,,,,,,,,,
8.0,Diego Luna,39387.0,B,16500000.0,,,,,,,,,,,,,,
9.0,Andrea Legarreta,43282.0,D,2000000.0,,,,,,,,,,,,,,
10.0,Amauri Pérez,43525.0,D,10500000.0,,,,,,,,,,,,,,
