LOCAL STUDENTS,,,,,,,,,,,,,
ID,NAME,FATHER'S LAST NAME,MOTHER'S LAST NAME,DATE OF BIRTH,Extract day (Day function),Extract month (Month function),Extract year (year function),Extract day (Text function),Extract month (Text function),Extract year (Text function),Show day (custom format),Show month (custom format),Show year (custom format)
024300,Jennifer,López,Pérez,2001-07-06 00:00:00,,,,,,,,,
024301,Justino,Castor,Mercado,2001-09-16 00:00:00,,,,,,,,,
024302,Enrique,Iglesias,Grajeda,2000-10-15 00:00:00,,,,,,,,,
024303,Paulina,Rubio,Esquivel,2000-06-05 00:00:00,,,,,,,,,
024304,Juan,Escutia,Suárez,2001-11-03 00:00:00,,,,,,,,,
024305,Carmen,García,López,2001-01-31 00:00:00,,,,,,,,,
024306,Benito,Juárez,Domínguez,2000-05-12 00:00:00,,,,,,,,,
024307,Roberto,Gómez,Bolaños,2000-02-06 00:00:00,,,,,,,,,
024308,Cirilo,Godinez,Gutierritos,2000-11-08 00:00:00,,,,,,,,,
024309,Herculano,Cedillo,Chico,2000-07-11 00:00:00,,,,,,,,,
024310,Antonio,López,De Santa Ana,2000-04-18 00:00:00,,,,,,,,,
024311,Leopoldo,García,López,2001-02-12 00:00:00,,,,,,,,,
024312,Margarita,Flores,Rosas,2001-08-11 00:00:00,,,,,,,,,
024313,Agustín,Melgar,Jiménez,2000-12-14 00:00:00,,,,,,,,,
024314,Julieta,Capuleto,Padilla,2001-05-19 00:00:00,,,,,,,,,
024315,Romeo,Montesco,Nannini,2001-04-13 00:00:00,,,,,,,,,
024316,Cristina,Aguilera,Torres,2001-11-15 00:00:00,,,,,,,,,
024317,Juana,De Asbaje,Álvarez,2000-01-01 00:00:00,,,,,,,,,
024318,Carlos,Martell,Franco,2000-08-04 00:00:00,,,,,,,,,
024319,Angélica ,Rivera,Hurtado,2000-12-02 00:00:00,,,,,,,,,
024320,Susanito,Peñafiel,Pardavé,2001-06-24 00:00:00,,,,,,,,,
024321,Isabel,Castilla,Sicilia,2001-10-10 00:00:00,,,,,,,,,
024322,Fernando,Aragón,Navarro,2001-04-25 00:00:00,,,,,,,,,
024323,Lucía ,Méndez,Adame,2001-07-18 00:00:00,,,,,,,,,
024324,Daniela,Romo,Saavedra,2001-09-04 00:00:00,,,,,,,,,
024325,Javier,Solís,Estevez,2000-06-17 00:00:00,,,,,,,,,
024326,Rosa,Espinosa,Del Campo,2000-04-30 00:00:00,,,,,,,,,
024327,Agustín,Lara,Madrid,2001-02-24 00:00:00,,,,,,,,,
024328,Xóchitl,Pérez,Esmit,2001-10-22 00:00:00,,,,,,,,,
024329,Rubi,Ibarra,García,2000-09-09 00:00:00,,,,,,,,,
024330,Diego,Luna,Gutiérrez,2000-09-21 00:00:00,,,,,,,,,
024331,Jorge,Negrete,Vega,2001-12-09 00:00:00,,,,,,,,,
024332,Carolina,Herrera,Hernández,2000-11-20 00:00:00,,,,,,,,,
024333,Tamara,Villa,Juárez,2000-12-26 00:00:00,,,,,,,,,
024334,Ricardo,Tapia,Enriquez,2000-05-24 00:00:00,,,,,,,,,
024335,Bruno,Diaz,Ricardez,2001-07-30 00:00:00,,,,,,,,,
024336,Adolfo,Ruiz,Cortina,2000-04-06 00:00:00,,,,,,,,,
024337,Flor,De La Fuente,Arenas,2000-07-23 00:00:00,,,,,,,,,
024338,Euduviges,Volker,Fuchs,2000-08-16 00:00:00,,,,,,,,,
024339,Ludmila,Carrasco,Morales,2001-04-01 00:00:00,,,,,,,,,
024340,Gokú Fernando,Martínez,González,2000-10-03 00:00:00,,,,,,,,,
024341,Pedro,Bello,Buenrostro,2000-03-01 00:00:00,,,,,,,,,
024342,Pedro,Cárdenas,Rosas,2001-08-23 00:00:00,,,,,,,,,
024343,Estefanía,Grimaldi,Palacios,2001-05-31 00:00:00,,,,,,,,,
024344,Joaquín,Guzmán,Loaeza,2001-01-19 00:00:00,,,,,,,,,
024345,Vicente,Fernández,Nuñez,2001-05-07 00:00:00,,,,,,,,,
024346,Juvenal,Bovino,Becerra,2000-01-13 00:00:00,,,,,,,,,
024347,Mauricio,Garcés,Galán,2000-08-28 00:00:00,,,,,,,,,
024348,Macarena,Alegre,Valls,2001-11-27 00:00:00,,,,,,,,,
024349,Toribio,Cabeza De Vaca,Farías,2000-06-29 00:00:00,,,,,,,,,
024350,Alejandra,Guzmán,Paniagua,2001-06-12 00:00:00,,,,,,,,,
024351,Tiburcio,Del Río,Laguna,2001-01-07 00:00:00,,,,,,,,,
024352,Eustorgio,Guerrero,Blanco,2000-01-25 00:00:00,,,,,,,,,
024353,Axayácatl,Zenhuantzin,Moctezuma,2001-03-20 00:00:00,,,,,,,,,
024354,Usnabi,Cruz,Chairez,2000-03-25 00:00:00,,,,,,,,,
024355,Martín,Martín Del Campo,Martínez,2001-03-08 00:00:00,,,,,,,,,
024356,Sancho,Sánchez,Sánchez,2001-09-28 00:00:00,,,,,,,,,
024357,Leonardo,León,Bravo,2000-02-18 00:00:00,,,,,,,,,
024358,Dolores,De La Muela,Grande,2000-10-27 00:00:00,,,,,,,,,
024359,Casimiro,Sordo,Barroso,2000-03-13 00:00:00,,,,,,,,,
