ID,Last Name,Name,Categoría,Area,Category,Salary,Entrance date,Date of birth
1079,Price,Ellen,Aux. Administrativo,Administration,Printer,29982.58,1986-03-24 00:00:00,1962-12-02 00:00:00
1290,Cooper,Linda,Aux. Administrativo,Administration,Fax,26113.86,1985-01-03 00:00:00,1966-04-03 00:00:00
1291,Constance,Burt,Aux. Administrativo,Administration,Printer,35785.66,1984-12-26 00:00:00,1956-04-14 00:00:00
1368,Wu,Tammy,Aux. Administrativo,Administration,Fax,32884.12,1983-03-11 00:00:00,1959-05-08 00:00:00
1530,Stewart,Iain,Aux. Administrativo,Administration,Printer,25146.68,1991-01-20 00:00:00,1967-01-15 00:00:00
1557,Bates,Lisa,Aux. Administrativo,Administration,Copy Machine,27081.04,1981-11-18 00:00:00,1965-09-22 00:00:00
1676,Wells,Jason,Aux. Administrativo,Administration,Copy Machine,23212.32,1981-10-18 00:00:00,1969-09-12 00:00:00
1793,Able,Aaron,Aux. Administrativo,Administration,Fax,24179.5,1990-12-16 00:00:00,1968-10-14 00:00:00
1961,Mueller,Kris,Aux. Administrativo,Administration,Fax,27081.04,1986-11-05 00:00:00,1965-04-02 00:00:00
1967,Aruda,Felice,Aux. Administrativo,Administration,Copy Machine,23212.32,1991-11-09 00:00:00,1969-05-15 00:00:00
1056,Gonzales,Joe,Director Unidad,Administration,Copy Machine,116511.36,1979-10-25 00:00:00,1937-08-24 00:00:00
1725,Hodge,Alex,Director Unidad,Administration,Printer,79061.28,1978-02-12 00:00:00,1955-05-26 00:00:00
1908,Zostoc,Melissa,Director Unidad,Administration,Fax,72819.6,1984-05-15 00:00:00,1958-09-21 00:00:00
1968,Larssen,Erika,Office Manager,Administration,Printer,65821.56,1982-04-05 00:00:00,1951-09-28 00:00:00
1153,Plant,Allen,Aux. Admin. Unidad,Accounting,Printer,28043.68,1990-01-13 00:00:00,1965-11-03 00:00:00
