Computing class students,,,,,Discount,0.25,
Name,Course,Weekly cost,# Weeks,Subtotal,Discount,Total,"Calculate Subtotal (Cost * # weeks), Discount and Total (Subtotal - Discount)"
Raúl Flores,Word,200,3,,,,Calculate the Discount considering that it is only applied to Excel courses
Carlos López,Excel,300,5,,,,Format numbers as currency
Javier Méndez,Word,200,3,,,,
Rebeca Guzmán,Internet,250,3,,,,
Martín Ceballos,Word,200,3,,,,
Mónica Vázquez,Excel,300,5,,,,
Claudia Sánchez,Excel,300,5,,,,
Name,Course,Turn,Grade,Status,,"Insert grades between 0 and 100 in the ""Grade"" column. Validate the cells so that ",
Raúl Jiménez,Word,Morning,,,,numbers outside that range are not allowed.,
Carlos López,Excel,Morning,,,,Determine each alumn status: ,
Javier Méndez,Word,Evening,,,,"""Approved"" if the grade is equal or grater than 70,",
Rebeca Guzmán,Internet,Morning,,,,"""Failed"" otherwise",
Martín Ceballos,Word,Evening,,,,,
Mónica Vázquez,Excel,Evening,,,,"Use conditional formating to highligh in red students who failed, and color blue for students",
Claudia Sánchez,Excel,Morning,,,,approved.,
,,,Total Approved,,,"Block the cells of the ""Status"" column. ",
,,,% Approved,,,,
,,,Total Failed,,,Create a 3-D column chart showing students and their grades.,
,,,% Failed,,,Create a bar chart showing Total approved and Total failed .,
How many studens attended the morning Excel course?,,,,,,,
How many students attended the morning Word course?,,,,,,,
