,Personal information,,,,,,,,,,,
,Student,Father's education level,Monthly income,Notes,,,Average monthly income,,,,,
1,Raúl Flores,Sin estudios,4800,,,,,,,,,
2,Carlos López,Secundaria,6000,,,,Percentage of education level:,,,,,
3,Javier Méndez,Licenciatura,12000,,,,No studies,Primary,Secondary,High school,Undergraduate,Graduate
4,Rebeca Guzmán,Posgrado,18000,,,,,,,,,
5,Martín Ceballos,Licenciatura,13500,,,,,,,,,
6,Mónica Vázquez,Preparatoria,7000,,,"If the monthly income is 6000 or less, it should say ""Scholarship candidate""",,,,,,
7,Víctor Gutiérrez,Secundaria,6500,,,,,,,,,
8,Andrés Morales,Primaria,6200,,,,,,,,,
9,Saúl Viveros,Licenciatura,10000,,,Use currency format in the monthly income Dale formato de moneda a las cantidades de la columna Ingreso mensual.,,,,,,
10,Laura Flores,Sin estudios,4000,,,,,,,,,
11,Daniela Jimenez,Primaria,5500,,,,,,,,,
12,Raul Cancino,Secundaria,6800,,,,,,,,,
13,Miguel Carmona,Posgrado,20000,,,,,,,,,
14,Rebeca Torres,Preparatoria,9000,,,,,,,,,
15,Victoria Barrios,Preparatoria,8200,,,,,,,,,
,,Final Grades Report by subject,,,,,,,,,,
,Student,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Approved subjects,Result,,,
1,Raúl Flores,5,9,10,5,6,10,,,,,
2,Carlos López,8,3,3,8,8,9,,,,,
3,Javier Méndez,4,10,7,3,10,4,,,,,
4,Rebeca Guzmán,9,10,9,5,4,4,,,,,
5,Martín Ceballos,5,10,9,10,5,10,,,,,
6,Mónica Vázquez,5,2,7,7,6,4,,,,"If the number of failed subjects is greater than 2, then ",
7,Víctor Gutiérrez,7,9,5,10,10,8,,,,"the Result is ""Take general exam"", otherwise the result is",
8,Andrés Morales,5,3,7,4,6,10,,,,the average of the 6 subjects. ,
9,Saúl Viveros,9,4,9,4,6,9,,,,,
10,Laura Flores,4,10,7,6,10,8,,,,Use conditional formating to use red font and yellow fill on the cells showing ,
11,Daniela Jimenez,8,3,7,4,8,10,,,,"""Take general exam""",
12,Raul Cancino,9,7,5,4,5,5,,,,,
13,Miguel Carmona,10,10,10,3,10,10,,,,,
14,Rebeca Torres,9,10,5,9,4,10,,,,,
15,Victoria Barrios,3,6,4,4,6,10,,,,,
