,,,,,PIVOT TABLES
Date,Vendor,Store,Product,Amount,Create a pivot table for each of the following:
2017-03-17 00:00:00,Carlos Vasquez,Tienda A,Laptop i3,1000,
2017-03-20 00:00:00,Juan Carlos,Tienda B,Impresora ,200,"1. Show the sum of the amout per vendor, grouped by store. "
2017-03-22 00:00:00,Pedro Noriega,Tienda B,Laptop i5,3500,2. Show the sum of the amout per store grouped by date (year and month) 
2017-04-20 00:00:00,José Almanares,Tienda C,Impresora ,100,"3. Show the sum of the amout by store, grouped by date (year and month) and use slice (segmentation) by vendor"
2017-04-17 00:00:00,Carlos Vasquez,Tienda A,Pantalla 42,100,4. Show the average sales per vendor grouped by store. Insert a time line. 
2017-05-22 00:00:00,Juan Carlos,Tienda C,Teclado,20,5. Show the sum of sales per vendor grouped by store. Insert a calculated field where a 10% discount on the amount of sales is calculated. 
2017-05-22 00:00:00,Pedro Noriega,Tienda C,Mouse,10,
2017-05-24 00:00:00,José Almanares,Tienda A,Teclado,20,
2017-05-17 00:00:00,José Almanares,Tienda D,Laptop i7,4000,
2017-05-20 00:00:00,Carlos Vasquez,Tienda C,Laptop i7,4000,
2017-05-27 00:00:00,Juan Carlos,Tienda C,Pantalla 17,180,
2017-05-20 00:00:00,Pedro Noriega,Tienda A,Mouse,10,
2017-05-17 00:00:00,José Almanares,Tienda D,Teclado,30,
2018-05-18 00:00:00,Carlos Vasquez,Tienda B,Laptop i3,1000,
2018-06-16 00:00:00,Juan Carlos,Tienda C,USB 3.0.1,15,
2018-06-17 00:00:00,Pedro Noriega,Tienda A,Laptop i7,4000,
2018-06-20 00:00:00,José Almanares,Tienda C,USB 3.0.1,15,
2018-06-19 00:00:00,Carlos Vasquez,Tienda A,Impresora ,100,
2018-07-05 00:00:00,Juan Carlos,Tienda D,Pantalla 42,100,
2018-07-06 00:00:00,Pedro Noriega,Tienda A,Laptop i3,15,
2018-07-08 00:00:00,José Almanares,Tienda C,Pantalla 42,100,
2018-08-04 00:00:00,Carlos Vasquez,Tienda D,USB 3.0.1,15,
2018-08-06 00:00:00,Juan Carlos,Tienda C,Pantalla 42,100,
2018-08-07 00:00:00,Pedro Noriega,Tienda A,Laptop i7,4000,
2018-09-01 00:00:00,José Almanares,Tienda A,Pantalla 42,100,
2018-09-04 00:00:00,Carlos Vasquez,Tienda B,Impresora ,100,
2019-09-05 00:00:00,Juan Carlos,Tienda A,Laptop i3,1000,
2019-09-08 00:00:00,Pedro Noriega,Tienda D,Laptop i5,3500,
2019-09-20 00:00:00,José Almanares,Tienda B,USB 3.0.1,15,
