Date,Vendor,Store,Product,Quantity,Unit Price,Total Sales,Year,ADVANCED FILTERS
2019-03-15 00:00:00,Carlos Vasquez,Tienda A,Laptop i3,3,9500,28500,2019,
2019-03-22 00:00:00,Juan Carlos,Tienda B,Impresora ,4,1800,7200,2019,"Starting on the cell J15, present the following filters:"
2019-03-29 00:00:00,Pedro Noriega,Tienda B,Laptop i5,2,3500,7000,2019,1. Show all data for the years 2019 and 2020
2019-04-05 00:00:00,José Almanares,Tienda C,Pantalla 17,8,1800,14400,2019,"2. Show the data from march to may 2019 (show only date, product and total sales) "
2019-04-12 00:00:00,Carlos Vasquez,Tienda A,Pantalla 42,5,950,4750,2019,"3. Show the data from Stores A and B of the products ""Impresora"" and ""Laptop i7"", but only the Vendor, Store and Total Sales columns. "
2019-04-19 00:00:00,Juan Carlos,Tienda C,Teclado,2,180,360,2019,"4. Show vendors starting with ""C"" and show only Store, Vendor and Total Sales columns. "
2019-04-26 00:00:00,Pedro Noriega,Tienda C,Mouse,4,90,360,2019,5. Show only prices between 8000 and 10 000. Show only product and price.
2019-05-03 00:00:00,José Almanares,Tienda A,Teclado,5,80,400,2019,"6. Show vendors whose names start with ""C"" and ""J"". "
2019-05-10 00:00:00,José Almanares,Tienda D,Pantalla 17,2,2900,5800,2019,
2019-05-17 00:00:00,Carlos Vasquez,Tienda C,Pantalla 17,1,2900,2900,2019,
2019-05-24 00:00:00,Juan Carlos,Tienda C,Pantalla 17,3,890,2670,2019,
2019-05-31 00:00:00,Pedro Noriega,Tienda A,Mouse,5,90,450,2019,
2019-06-07 00:00:00,José Almanares,Tienda D,Teclado,1,180,180,2019,
2019-06-14 00:00:00,Carlos Vasquez,Tienda B,Laptop i3,1,9500,9500,2019,
2019-06-21 00:00:00,Juan Carlos,Tienda C,USB 3.0.1,2,15,30,2019,
2019-06-28 00:00:00,Pedro Noriega,Tienda A,Laptop i7,6,2900,17400,2019,
2019-07-05 00:00:00,José Almanares,Tienda C,USB 3.0.1,5,15,75,2019,
2019-07-12 00:00:00,Carlos Vasquez,Tienda A,Impresora ,4,1800,7200,2019,
2019-07-19 00:00:00,Juan Carlos,Tienda D,Pantalla 42,10,950,9500,2019,
2019-07-26 00:00:00,Pedro Noriega,Tienda A,Laptop i3,2,15,30,2019,
2019-08-02 00:00:00,José Almanares,Tienda C,Pantalla 42,2,950,1900,2019,
2019-08-09 00:00:00,Carlos Vasquez,Tienda D,USB 3.0.1,3,15,45,2019,
2019-08-16 00:00:00,Juan Carlos,Tienda C,Pantalla 42,5,950,4750,2019,
2019-08-23 00:00:00,Pedro Noriega,Tienda A,Laptop i7,6,2900,17400,2019,
2019-08-30 00:00:00,José Almanares,Tienda A,Pantalla 42,7,950,6650,2019,
2019-09-06 00:00:00,Carlos Vasquez,Tienda B,Impresora ,8,1800,14400,2019,
2019-09-13 00:00:00,Juan Carlos,Tienda A,Laptop i3,9,9500,85500,2019,
2019-09-20 00:00:00,Pedro Noriega,Tienda D,Laptop i5,5,3500,17500,2019,
