Name,Father's surname,Mother's surname,1,2,3,4,5,6,7,8,9,10
Angélica ,Rivera,Hurtado,1,0,1,1,1,1,1,0,1,0
Susanito,Peñafiel,Pardavé,1,1,0,1,0,1,0,1,1,0
Isabel,Castilla,Sicilia,0,1,0,1,1,1,1,0,0,1
Fernando,Aragón,Navarro,0,1,0,0,0,1,1,1,1,1
Lucía ,Méndez,Pérez,0,1,1,1,0,0,1,0,0,1
Daniela,Romo,Saavedra,1,0,1,0,0,1,0,0,0,0
Javier,Solís,Estevez,1,1,0,1,0,0,0,0,0,1
Rosa,Espinosa,del Campo,1,0,0,1,1,1,1,0,1,1
Agustín,Lara,Madrid,0,0,1,0,1,1,0,0,1,1
Ana,Pérez,Chavez,1,1,0,0,1,0,1,1,1,1
Pamela,Churchill,Williams,0,1,0,0,1,0,0,1,0,0
Rubi,Gómez,García,0,1,1,1,0,0,1,0,0,0
Diego,Luna,González,0,0,1,1,1,1,1,1,0,0
Jorge,Negrete,Vega,0,0,0,1,0,0,0,1,0,1
Carolina,Herrera,Hernández,0,1,0,0,1,1,0,0,0,1
Tamara,Villa,Juárez,1,1,1,1,1,0,1,1,1,1
Ricardo,Tapia,Enriquez,0,0,1,0,0,1,0,1,1,1
Bruno,Diaz,Ricardez,0,1,1,0,1,1,1,0,0,0
Adolfo,Ruiz,Cortina,1,1,0,0,0,0,0,1,1,0
Rosa,Flores,Flores ,1,0,0,1,1,1,1,0,1,1
Euduviges,Ramirez,Osorio,1,0,1,0,0,0,0,1,0,0
Ludmila,Carrasco,Morales,0,1,0,1,1,1,0,0,1,1
Andrés,Rodriguez,Carrera,1,1,1,1,1,1,0,0,0,1
Pedro,Bello,Buenrostro,1,0,0,1,0,1,0,1,0,1
Iñaki,Erreconerrechea,Zumalacárregui,1,1,1,1,1,0,1,1,1,0
Pedro,Cárdenas,Rosas,0,1,1,0,0,0,1,1,0,1
Estefanía,Grimaldi,Palacios,1,0,0,1,0,1,0,0,1,1
Joaquín,Guzmán,Loaeza,0,1,1,1,1,1,0,0,1,1
Vicente,Fernández,Nuñez,1,0,1,0,0,0,1,0,0,1
Juvenal,Tovar,Gutiérrez,1,0,1,0,1,1,1,1,1,1
Mauricio,Garcés,Castillo,1,0,0,1,0,0,1,0,1,0
Macarena,Alegre,Tenorio,0,1,0,0,0,0,0,0,0,0
Toribio,Guerrero,Farías,1,1,1,1,0,0,1,0,1,1
Alejandra,Guzmán,Paniagua,1,0,1,1,1,0,0,1,0,1
Tiburcio,Laguna,Gamero,1,1,1,1,0,0,1,0,1,1
Eustorgio,Alvarez,Jiménez,0,0,1,1,1,1,0,0,1,1
Jennifer,López,Pérez,1,1,0,0,1,1,1,0,1,0
Justino,Castor,Sánchez,0,1,1,0,1,1,0,0,0,1
Enrique,Iglesias,Grajeda,0,1,1,0,1,1,0,1,1,0
Paulina,Rubio,Esquivel,1,0,0,0,1,1,1,1,0,0
Juan,Escutia,Suárez,1,1,1,1,0,1,0,0,0,1
Carmen,García,López,1,0,0,1,0,0,0,0,0,0
Benito,Juárez,Domínguez,1,1,1,0,1,1,0,1,1,1
Roberto,Gómez,Bolaños,0,0,1,1,1,1,1,1,1,0
Leonardo,Godinez,Gutierritos,1,1,1,1,1,0,1,0,0,0
Herculano,Cedillo,Flores,0,0,1,1,1,0,0,1,1,1
Antonio,López,De Santa Ana,0,0,1,0,0,0,1,0,1,1
Leopoldo,García,López,1,1,1,1,1,0,1,1,1,1
Margarita,Flores,Rosas,1,0,1,1,1,1,1,0,0,1
Agustín,Melgar,Jiménez,0,1,0,0,0,0,0,1,1,1
Julieta,Capuleto,Padilla,0,1,0,1,1,1,0,1,0,0
Cristina,Aguilera,Torres,1,1,0,1,0,1,1,0,1,1
Juana,De Asbaje,Álvarez,0,1,1,0,0,1,0,1,0,0
Carlos,Martell,Franco,1,0,0,0,1,0,1,0,0,1
